WAL statistics between D8/80000638 and D8/80AB7EE8:
Type                                           N      (%)          Record size      (%)             FPI size      (%)        Combined size      (%)
----                                           -      ---          -----------      ---             --------      ---        -------------      ---
XLOG                                        1720 ( 30,59)                84846 ( 14,51)              9927032 ( 93,67)             10011878 ( 89,53)
Transaction                                  163 (  2,90)                46952 (  8,03)                    0 (  0,00)                46952 (  0,42)
Storage                                      321 (  5,71)                13482 (  2,31)                    0 (  0,00)                13482 (  0,12)
CLOG                                           0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
Database                                       3 (  0,05)                  110 (  0,02)                    0 (  0,00)                  110 (  0,00)
Tablespace                                     0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
MultiXact                                      0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
RelMap                                         1 (  0,02)                  565 (  0,10)                    0 (  0,00)                  565 (  0,01)
Standby                                       73 (  1,30)                 3562 (  0,61)                    0 (  0,00)                 3562 (  0,03)
Heap2                                        657 ( 11,68)                64276 ( 10,99)                24908 (  0,24)                89184 (  0,80)
Heap                                        1855 ( 32,99)               301270 ( 51,51)               623720 (  5,89)               924990 (  8,27)
Btree                                        830 ( 14,76)                69812 ( 11,94)                21964 (  0,21)                91776 (  0,82)
Hash                                           0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
Gin                                            0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
Gist                                           0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
Sequence                                       0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
SPGist                                         0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
BRIN                                           0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
CommitTs                                       0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
ReplicationOrigin                              0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
Generic                                        0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
LogicalMessage                                 0 (  0,00)                    0 (  0,00)                    0 (  0,00)                    0 (  0,00)
                                        --------                      --------                      --------                      --------
Total                                       5623                        584875 [5,23%]              10597624 [94,77%]             11182499 [100%]
