2024-09-19 12:38:42.449 CEST [18168] LOG:  iniciando PostgreSQL 16.4, compiled by Visual C++ build 1940, 64-bit
2024-09-19 12:38:42.450 CEST [18168] LOG:  escuchando en la dirección IPv6 «::», port 5432
2024-09-19 12:38:42.450 CEST [18168] LOG:  escuchando en la dirección IPv4 «0.0.0.0», port 5432
2024-09-19 12:38:42.485 CEST [24168] LOG:  el sistema de bases de datos fue interrumpido; última vez en funcionamiento en 2024-09-19 12:37:09 CEST
2024-09-19 12:38:42.834 CEST [24168] LOG:  el sistema de bases de datos no fue apagado apropiadamente; se está efectuando la recuperación automática
2024-09-19 12:38:42.837 CEST [24168] LOG:  redo comienza en 0/15D9578
2024-09-19 12:38:42.837 CEST [24168] LOG:  largo de registro no válido en 0/15D95B0: se esperaba al menos 24, se obtuvo 0
2024-09-19 12:38:42.837 CEST [24168] LOG:  redo listo en 0/15D9578 utilización del sistema: CPU: usuario: 0.00 s, sistema: 0.00 s, transcurrido: 0.00 s
2024-09-19 12:38:42.841 CEST [18008] LOG:  empezando checkpoint: end-of-recovery immediate wait
2024-09-19 12:38:42.848 CEST [18008] LOG:  checkpoint completo: escritos 3 búfers (0.0%); 0 archivos WAL añadidos, 0 eliminados, 0 reciclados; write=0.002 s, sync=0.002 s, total=0.010 s; archivos sincronizados=2, más largo=0.001 s, promedio=0.001 s; distancia=0 kB, estimación=0 kB; lsn=0/15D95B0, lsn de redo=0/15D95B0
2024-09-19 12:38:42.870 CEST [18168] LOG:  el sistema de bases de datos está listo para aceptar conexiones
2024-09-19 12:38:48.357 CEST [18168] LOG:  se recibió petición de apagado rápido
2024-09-19 12:38:48.358 CEST [18168] LOG:  abortando transacciones activas
2024-09-19 12:38:48.359 CEST [7840] ERROR:  cancelando la sentencia debido a una petición del usuario
2024-09-19 12:38:48.359 CEST [12028] ERROR:  cancelando la sentencia debido a una petición del usuario
2024-09-19 12:38:48.384 CEST [18168] LOG:  proceso ayudante «logical replication launcher» (PID 7840) terminó con código de salida 1
2024-09-19 12:38:48.385 CEST [18008] LOG:  apagando
2024-09-19 12:38:48.386 CEST [18008] LOG:  empezando checkpoint: shutdown immediate
2024-09-19 12:38:48.392 CEST [18008] LOG:  checkpoint completo: escritos 0 búfers (0.0%); 0 archivos WAL añadidos, 0 eliminados, 0 reciclados; write=0.001 s, sync=0.001 s, total=0.007 s; archivos sincronizados=0, más largo=0.000 s, promedio=0.000 s; distancia=0 kB, estimación=0 kB; lsn=0/15D9628, lsn de redo=0/15D9628
2024-09-19 12:38:48.419 CEST [18168] LOG:  el sistema de bases de datos está apagado
